n_test,r2,rmse,calib_intercept,calib_slope,setting,model,kind,split,split_seed,n_train,n_train_groups,n_test_groups
40,-0.05530512143731281,0.9144063115263912,0.4300983987389262,1.1699248401107962,bert,tokens_only,linear,18,211455622,91,47,21
51,-0.024544930658548125,1.0063324162780427,1.4723175595486235,1.420311508815961,bert,tokens_only,linear,19,640600314,80,47,21
37,0.3949750759956957,0.7736542141970653,0.51835959851006,1.1643939260832936,bert,total_flops_only,linear,0,1829338324,94,47,21
39,0.386112888532507,0.8420141858542045,0.9066790698985278,1.1902659419355774,bert,total_flops_only,linear,1,384259585,92,47,21
29,0.278630703569967,0.8171210262955887,0.9521066389022068,1.3372728752044132,bert,total_flops_only,linear,2,56731231,102,47,21
45,0.4277692442053377,0.762487755871559,-0.13740749837315006,0.9697616296296923,bert,total_flops_only,linear,3,1374203058,86,47,21
34,0.3085052899237627,0.7438527800275089,-1.1724475811296564,0.802734257521026,bert,total_flops_only,linear,4,784857332,97,47,21
34,0.5202604404091496,0.744008111095912,1.92175309506466,1.4937299096948335,bert,total_flops_only,linear,5,1003451250,97,47,21
39,0.26167849984458713,0.8280097079871025,-1.196066539975236,0.7429823068003297,bert,total_flops_only,linear,6,171429433,92,47,21
36,0.32555239445761064,0.8547829355104132,0.17115655983044836,0.9919854451699845,bert,total_flops_only,linear,7,795643823,95,47,21
47,0.29631773149511165,0.8561298461717797,-0.8538629448283184,0.7579584371826052,bert,total_flops_only,linear,8,1381800716,84,47,21
44,0.341065967459122,0.796249379573723,-0.3681653596252315,0.89691265229403,bert,total_flops_only,linear,9,762179171,87,47,21
41,0.4299527047758793,0.7825889052689889,1.215852898257626,1.3023391422471384,bert,total_flops_only,linear,10,1784690067,90,47,21
35,0.3184461425907359,0.8331360298296103,0.9236108474852134,1.2443863730243896,bert,total_flops_only,linear,11,1697625005,96,47,21
41,0.27229308822966014,0.8245964483029337,1.4498407106878557,1.3468104004882977,bert,total_flops_only,linear,12,1512746413,90,47,21
44,0.2627434706797589,0.8785625352245706,-0.4801028404972859,0.8214393161776546,bert,total_flops_only,linear,13,1943781587,87,47,21
42,0.3627231979548613,0.809946381688718,2.5871082348724053,1.6531393590825676,bert,total_flops_only,linear,14,1548783626,89,47,21
46,0.4495309488043733,0.8355751971263677,-0.015577403242124806,0.9714876263423453,bert,total_flops_only,linear,15,380863078,85,47,21
34,0.3474709890729304,0.8301784913004716,-0.779700751616225,0.7788425217590718,bert,total_flops_only,linear,16,1843517862,97,47,21
39,0.21249022000388618,0.7808171056738931,-0.19057397148237828,1.0115392157064982,bert,total_flops_only,linear,17,1401844688,92,47,21
40,0.26208296355308236,0.7646346256727422,-0.9506125766731015,0.8052261346931513,bert,total_flops_only,linear,18,211455622,91,47,21
51,0.40722370623166326,0.7654580093916313,-0.4829853017248862,0.8879305766304104,bert,total_flops_only,linear,19,640600314,80,47,21
37,0.3788303883833326,0.7839084815033931,0.48037813974300686,1.1618941109997336,bert,compute_only,linear,0,1829338324,94,47,21
39,0.4037566743208538,0.8298257667815894,0.9525556376639414,1.2021930954726048,bert,compute_only,linear,1,384259585,92,47,21
29,0.24877386905829357,0.8338595409904535,0.20206336120240315,1.1323991727703642,bert,compute_only,linear,2,56731231,102,47,21
45,0.4374497120710117,0.7560107164497049,-0.07989458092956975,0.9903355234362039,bert,compute_only,linear,3,1374203058,86,47,21
34,0.3061540330578969,0.7451163505956562,-1.1131879166663639,0.8115319753739307,bert,compute_only,linear,4,784857332,97,47,21
34,0.5179362599147828,0.7458081709412823,1.3906266471606559,1.3485432140348512,bert,compute_only,linear,5,1003451250,97,47,21
39,0.2889556255722988,0.8125704475395196,-1.0631377280792476,0.7778130680077311,bert,compute_only,linear,6,171429433,92,47,21
36,0.3628377780046731,0.8308196201155592,0.6362909774311772,1.0949258752784696,bert,compute_only,linear,7,795643823,95,47,21
47,0.3358042513142854,0.8317625826089953,-0.5841131533598466,0.8282711870307012,bert,compute_only,linear,8,1381800716,84,47,21
