setting,gpu_model,split,n_test,r2,rmse,calib_intercept,calib_slope
pooled,NVIDIA GeForce RTX 2080 Ti,3,89,0.9615446395614944,0.1929672518179145,-0.007755748551170358,1.0006622038108144
pooled,NVIDIA GeForce RTX 2080 Ti,4,79,0.9465750556412452,0.22348995365144245,0.2233885405579881,1.042359420349986
pooled,NVIDIA GeForce RTX 2080 Ti,5,95,0.9625960851985207,0.18418351884171763,-0.1031280832525486,0.9929620649436444
pooled,NVIDIA GeForce RTX 2080 Ti,6,87,0.9635962646851138,0.19107533257064374,0.24805405442405865,1.0456473485669349
pooled,NVIDIA GeForce RTX 2080 Ti,7,90,0.9595512371512809,0.19726950508096872,0.00497332460764977,1.006528173545171
pooled,NVIDIA GeForce RTX 2080 Ti,8,95,0.9576042405028458,0.205050459500698,0.2727933735344038,1.0617596199877688
pooled,NVIDIA GeForce RTX 2080 Ti,9,88,0.9590008637327825,0.20654293992119233,0.22707411208683875,1.0497012794747165
pooled,NVIDIA GeForce RTX 2080 Ti,10,77,0.9500664667261386,0.2150718300839696,0.07344705950348687,1.0098460441774766
pooled,NVIDIA GeForce RTX 2080 Ti,11,86,0.9550600064474416,0.20635365421172266,-0.0020278762552973168,1.0092378837535847
pooled,NVIDIA GeForce RTX 2080 Ti,12,87,0.9567840311070941,0.2087095483467288,-0.12973151404433575,0.9716234550652546
pooled,NVIDIA GeForce RTX 2080 Ti,13,90,0.953300603984377,0.21736456648265495,-0.09250920631636816,0.9745607878586813
pooled,NVIDIA GeForce RTX 2080 Ti,14,79,0.9486790700283858,0.21059759864750044,0.09013403796546791,1.0248243301784812
pooled,NVIDIA GeForce RTX 2080 Ti,15,83,0.9623943050625701,0.19115420836111013,0.12884966666009115,1.0242856958477977
pooled,NVIDIA GeForce RTX 2080 Ti,16,84,0.951794062809446,0.2002832080109548,0.1940773295378137,1.040802258453018
pooled,NVIDIA GeForce RTX 2080 Ti,17,87,0.9539515347126161,0.21597914882531868,-0.2123381793836251,0.9501123380422645
pooled,NVIDIA GeForce RTX 2080 Ti,18,91,0.9443621308812724,0.22260409620228014,0.13090114230715214,1.0339871916432288
pooled,NVIDIA GeForce RTX 2080 Ti,19,85,0.9560661148963403,0.19632912669789987,-0.2200705037026179,0.9529736749411548
pooled,Tesla T4,0,16,0.8762345619257651,0.3263233609221594,-0.8191693890381722,0.7969452645137451
pooled,Tesla T4,1,18,0.929554157436925,0.21674272646393103,-0.5189876803690533,0.8667604172620148
pooled,Tesla T4,2,17,0.9538298144825957,0.16487202672298054,0.24747681743206276,1.0808244614001865
