setting,split,feature,importance_r2_drop,importance_std
pooled,17,gpus,0.13694711068281298,0.015056172478367486
pooled,17,strategy,0.5394857732339126,0.04570900008433463
pooled,17,arch,0.0008753194799778059,0.0005726895381401867
pooled,18,log_C,1.253715638840375,0.0869715800617682
pooled,18,log_M,1.1128077885209227,0.09419478690384045
pooled,18,gpus,0.12671779584336107,0.015342748693592171
pooled,18,strategy,0.5365343254186479,0.04903997618856419
pooled,18,arch,0.0009625676498217995,0.0013737074720409205
pooled,19,log_C,1.2707145436940437,0.09280035746647775
pooled,19,log_M,1.27018451970519,0.0816450459366146
pooled,19,gpus,0.1404379526870234,0.014007076030429291
pooled,19,strategy,0.5393026421817976,0.04308327402408624
pooled,19,arch,0.00396062096889089,0.0010253037975785008
