setting,split,model,n_test,r2,rmse,calib_intercept,calib_slope
gpt,18,configuration_only_matched_features,175,0.8504260855427245,0.38384221338248575,0.20311922359860343,1.037498675007865
gpt,18,predicted_eta_prerun,175,0.850261537399614,0.3840532901678853,0.20071244313118297,1.0368995614197498
gpt,18,measured_eta_postrun,175,0.9455876870556679,0.23151194239061712,0.10948123570173215,1.0199347213231724
gpt,19,eta_predictor,174,0.9175008531047802,0.243966498556982,0.004570005162812555,1.025901128766055
gpt,19,configuration_only_legacy_no_strategy,174,0.7957259741150873,0.4378131466092267,-0.07355353417984255,0.9845206896158469
gpt,19,configuration_only_matched_features,174,0.8490319411065756,0.37637845901374006,-0.13970278345611584,0.9736008860980967
gpt,19,predicted_eta_prerun,174,0.8496264217956072,0.3756366781629595,-0.13938803271179429,0.9734495914305099
gpt,19,measured_eta_postrun,174,0.93091844069783,0.2546028672517251,-0.15083537021957394,0.979292126553895
pooled,0,eta_predictor,202,0.8959932527462029,0.27350544645522007,0.012547751345868219,0.9829285699974918
pooled,0,configuration_only_legacy_no_strategy,202,0.7715442120900545,0.44402292141246336,-0.2822444640113603,0.958593474597696
pooled,0,configuration_only_matched_features,202,0.8340024629747885,0.37849062729124994,-0.2280049559406951,0.9689147321907108
pooled,0,predicted_eta_prerun,202,0.8340505504149615,0.37843580128588056,-0.22483759932011513,0.9696076697672896
pooled,0,measured_eta_postrun,202,0.914962355040205,0.27090057033939613,-0.2104288493471612,0.9673512285458177
pooled,1,eta_predictor,192,0.8957963873271753,0.2762269639348174,-0.03755117483987255,0.9930240478743105
pooled,1,configuration_only_legacy_no_strategy,192,0.7790449267183436,0.4392473834689808,0.15960289223601787,1.020434259659705
pooled,1,configuration_only_matched_features,192,0.8424655946372254,0.37088981153577355,0.12159515110262054,1.0144931137763327
pooled,1,predicted_eta_prerun,192,0.8421954994230894,0.3712076235764586,0.11821413595091114,1.0137380587980451
pooled,1,measured_eta_postrun,192,0.9325649361213929,0.24266105471403748,0.06093392165536254,1.0062585170132314
pooled,2,eta_predictor,203,0.9039286150502115,0.2692066621896377,0.003015493677278803,1.0099494123408113
pooled,2,configuration_only_legacy_no_strategy,203,0.7778213813893357,0.451113588854913,0.3257178226316409,1.0695712366787151
pooled,2,configuration_only_matched_features,203,0.8373746800946694,0.3859480582968187,0.2864169261182316,1.0598975839598719
pooled,2,predicted_eta_prerun,203,0.8374186957577235,0.38589582501199127,0.28684470331971507,1.0599289198580055
pooled,2,measured_eta_postrun,203,0.927148939943743,0.25831683814544654,0.1676100144521149,1.0351991935531872
pooled,3,eta_predictor,195,0.8943970659087284,0.27988632841662464,0.016060662210501713,1.0247448934122318
